X,a - Copy.txt,X,a.txt,X,cdtest.txt,X,cdtestBL.txt
233.6,-0.017477755,233.6,-0.012982204,233.6,-0.018055029,233.6,0
233.4,-0.017767347,233.4,-0.013213878,233.4,-0.018458378,233.4,0
233.2,-0.018062443,233.2,-0.013449954,233.2,-0.018886433,233.2,0
233,-0.018310301,233,-0.013648241,233,-0.019269661,233,0
232.8,-0.018515134,232.8,-0.013812107,232.8,-0.019529104,232.8,0
232.6,-0.018579631,232.6,-0.013863705,232.6,-0.019810356,232.6,0
232.4,-0.018627452,232.4,-0.013901961,232.4,-0.020099886,232.4,0
232.2,-0.018693784,232.2,-0.013955027,232.2,-0.020546916,232.2,0
232,-0.01863604,232,-0.013908832,232,-0.021106301,232,0
231.8,-0.018634456,231.8,-0.013907565,231.8,-0.021742254,231.8,0
231.6,-0.018726553,231.6,-0.013981243,231.6,-0.022262064,231.6,0
231.4,-0.018868556,231.4,-0.014094845,231.4,-0.022621891,231.4,0
231.2,-0.019148768,231.2,-0.014319014,231.2,-0.023123268,231.2,0
231,-0.019324374,231,-0.014459499,231,-0.023640372,231,0
230.8,-0.019575443,230.8,-0.014660354,230.8,-0.024159164,230.8,0
230.6,-0.019622513,230.6,-0.01469801,230.6,-0.024796996,230.6,0
230.4,-0.019651697,230.4,-0.014721358,230.4,-0.025225655,230.4,0
230.2,-0.019464959,230.2,-0.014571967,230.2,-0.025706942,230.2,0
230,-0.019583448,230,-0.014666758,230,-0.026410105,230,0
229.8,-0.019810627,229.8,-0.014848502,229.8,-0.027050038,229.8,0
229.6,-0.019551929,229.6,-0.014641543,229.6,-0.02789943,229.6,0
229.4,-0.019546008,229.4,-0.014636807,229.4,-0.028611729,229.4,0
229.2,-0.0194354,229.2,-0.01454832,229.2,-0.029202283,229.2,0
229,-0.019261044,229,-0.014408835,229,-0.029815695,229,0
228.8,-0.019490516,228.8,-0.014592413,228.8,-0.030493674,228.8,0
228.6,-0.019716778,228.6,-0.014773423,228.6,-0.031009696,228.6,0
228.4,-0.019657951,228.4,-0.014726361,228.4,-0.03170041,228.4,0
228.2,-0.019794659,228.2,-0.014835727,228.2,-0.032386348,228.2,0
228,-0.02012882,228,-0.015103056,228,-0.033019595,228,0
227.8,-0.020111559,227.8,-0.015089247,227.8,-0.033748037,227.8,0
227.6,-0.02035133,227.6,-0.015281064,227.6,-0.034140274,227.6,0
227.4,-0.020454851,227.4,-0.01536388,227.4,-0.034701569,227.4,0
227.2,-0.020063989,227.2,-0.015051191,227.2,-0.035207466,227.2,0
227,-0.020274533,227,-0.015219626,227,-0.035702857,227,0
226.8,-0.020478823,226.8,-0.015383059,226.8,-0.036551963,226.8,0
226.6,-0.020440342,226.6,-0.015352273,226.6,-0.037232648,226.6,0
226.4,-0.020565459,226.4,-0.015452367,226.4,-0.037744276,226.4,0
226.2,-0.020441384,226.2,-0.015353107,226.2,-0.038171535,226.2,0
226,-0.020339906,226,-0.015271925,226,-0.038627766,226,0
225.8,-0.020175098,225.8,-0.015140078,225.8,-0.03899326,225.8,0
225.6,-0.020341157,225.6,-0.015272925,225.6,-0.039489924,225.6,0
225.4,-0.020289125,225.4,-0.0152313,225.4,-0.039966213,225.4,0
225.2,-0.019993112,225.2,-0.01499449,225.2,-0.040222186,225.2,0
225,-0.02025548,225,-0.015204384,225,-0.040617289,225,0
224.8,-0.020439299,224.8,-0.01535144,224.8,-0.040967183,224.8,0
224.6,-0.020432796,224.6,-0.015346236,224.6,-0.041356555,224.6,0
224.4,-0.020641547,224.4,-0.015513238,224.4,-0.041622398,224.4,0
224.2,-0.02065739,224.2,-0.015525912,224.2,-0.041707086,224.2,0
224,-0.020340031,224,-0.015272025,224,-0.041976749,224,0
223.8,-0.020495959,223.8,-0.015396767,223.8,-0.042234951,223.8,0
223.6,-0.020533231,223.6,-0.015426585,223.6,-0.042628462,223.6,0
223.4,-0.020690118,223.4,-0.015552094,223.4,-0.043028977,223.4,0
223.2,-0.021057132,223.2,-0.015845706,223.2,-0.043298322,223.2,0
223,-0.021192172,223,-0.015953738,223,-0.043466106,223,0
222.8,-0.021033701,222.8,-0.015826961,222.8,-0.043500172,222.8,0
222.6,-0.021088359,222.6,-0.015870687,222.6,-0.043654584,222.6,0
222.4,-0.020717301,222.4,-0.015573841,222.4,-0.043715712,222.4,0
222.2,-0.020486036,222.2,-0.015388829,222.2,-0.043967864,222.2,0
222,-0.020770208,222,-0.015616167,222,-0.044138195,222,0
221.8,-0.020863056,221.8,-0.015690445,221.8,-0.044029629,221.8,0
221.6,-0.021207181,221.6,-0.015965745,221.6,-0.044158253,221.6,0
221.4,-0.02128402,221.4,-0.016027216,221.4,-0.043773338,221.4,0
221.2,-0.021159819,221.2,-0.015927855,221.2,-0.043737998,221.2,0
221,-0.021008102,221,-0.015806482,221,-0.043685148,221,0
220.8,-0.020928179,220.8,-0.015742543,220.8,-0.043491258,220.8,0
220.6,-0.021107788,220.6,-0.01588623,220.6,-0.04364153,220.6,0
220.4,-0.021437779,220.4,-0.016150224,220.4,-0.043580721,220.4,0
220.2,-0.02190573,220.2,-0.016524584,220.2,-0.043600142,220.2,0
220,-0.021679718,220,-0.016343774,220,-0.043613195,220,0
219.8,-0.021581033,219.8,-0.016264826,219.8,-0.043448914,219.8,0
219.6,-0.021456833,219.6,-0.016165466,219.6,-0.043411982,219.6,0
219.4,-0.02086585,219.4,-0.01569268,219.4,-0.043358495,219.4,0
219.2,-0.020712382,219.2,-0.015569905,219.2,-0.043276991,219.2,0
219,-0.020545364,219,-0.015436291,219,-0.043239742,219,0
218.8,-0.020367256,218.8,-0.015293805,218.8,-0.043015606,218.8,0
218.6,-0.020517597,218.6,-0.015414078,218.6,-0.042364211,218.6,0
218.4,-0.020269697,218.4,-0.015215757,218.4,-0.042238135,218.4,0
218.2,-0.020371967,218.2,-0.015297574,218.2,-0.042222853,218.2,0
218,-0.020825617,218,-0.015660493,218,-0.042251188,218,0
217.8,-0.021178873,217.8,-0.015943098,217.8,-0.04271697,217.8,0
217.6,-0.021334508,217.6,-0.016067607,217.6,-0.04285992,217.6,0
217.4,-0.02118375,217.4,-0.015947,217.4,-0.042553326,217.4,0
217.2,-0.020889197,217.2,-0.015711358,217.2,-0.042324733,217.2,0
217,-0.020421289,217,-0.015337031,217,-0.042171594,217,0
216.8,-0.020725348,216.8,-0.015580278,216.8,-0.041950006,216.8,0
216.6,-0.020722679,216.6,-0.015578144,216.6,-0.041731919,216.6,0
216.4,-0.02094569,216.4,-0.015756552,216.4,-0.0417004,216.4,0
216.2,-0.021114375,216.2,-0.0158915,216.2,-0.04152593,216.2,0
216,-0.020976125,216,-0.0157809,216,-0.041460027,216,0
215.8,-0.02075449,215.8,-0.015603592,215.8,-0.041329493,215.8,0
215.6,-0.020747653,215.6,-0.015598122,215.6,-0.041088165,215.6,0
215.4,-0.021065345,215.4,-0.015852276,215.4,-0.041306889,215.4,0
215.2,-0.021197259,215.2,-0.015957807,215.2,-0.041123505,215.2,0
215,-0.021599961,215,-0.016279969,215,-0.041324399,215,0
214.8,-0.022036559,214.8,-0.016629247,214.8,-0.041818835,214.8,0
214.6,-0.022001913,214.6,-0.01660153,214.6,-0.041838574,214.6,0
214.4,-0.022198157,214.4,-0.016758525,214.4,-0.042157268,214.4,0
214.2,-0.022158466,214.2,-0.016726773,214.2,-0.04230754,214.2,0
214,-0.022259277,214,-0.016807422,214,-0.042201203,214,0
213.8,-0.022278205,213.8,-0.016822564,213.8,-0.042200248,213.8,0
213.6,-0.022518101,213.6,-0.01701448,213.6,-0.041997125,213.6,0
213.4,-0.022994014,213.4,-0.017395211,213.4,-0.042305949,213.4,0
213.2,-0.023141645,213.2,-0.017513316,213.2,-0.042862467,213.2,0
213,-0.023512703,213,-0.017810162,213,-0.043519911,213,0
212.8,-0.023925286,212.8,-0.018140229,212.8,-0.043681964,212.8,0
212.6,-0.023641531,212.6,-0.017913225,212.6,-0.043960542,212.6,0
212.4,-0.023482393,212.4,-0.017785914,212.4,-0.043942713,212.4,0
212.2,-0.023730168,212.2,-0.017984135,212.2,-0.04414902,212.2,0
