X,cdtest.txt,X,cdtestBL.txt,X,combination
215.2,-0.00039165251667677383,215.2,-1.7802387113402064e-05,215.2,-0.00015719170021224983
215.4,-0.00039339902971497875,215.4,-1.788177407519709e-05,215.4,-0.00015706925685263798
215.6,-0.0003913159490600364,215.6,-1.7787088599151003e-05,215.6,-0.00015548792656155244
215.8,-0.0003936143117040631,215.8,-1.789155961188599e-05,215.8,-0.00015598290976349304
216.0,-0.00039485748938750755,216.0,-1.794806770770164e-05,216.0,-0.0001570431390842935
216.2,-0.0003954851425106125,216.2,-1.7976597392359005e-05,216.2,-0.00015767425160703459
216.4,-0.0003971467556094603,216.4,-1.8052125257731958e-05,216.4,-0.00015740072495451792
216.6,-0.0003974469375379017,216.6,-1.8065769890842936e-05,216.6,-0.00015665117977562158
216.8,-0.0003995239539114615,216.8,-1.8160179714978778e-05,216.8,-0.00015708572689508794
217.0,-0.00040163432383262586,217.0,-1.8256105639781688e-05,217.0,-0.0001564117233474833
217.2,-0.00040309278350515466,217.2,-1.8322399241964827e-05,217.2,-0.00015841153041237115
217.4,-0.0004052698605215282,217.4,-1.8421357307459067e-05,217.4,-0.00015992794530018194
217.6,-0.0004081898120072771,217.6,-1.8554082352941177e-05,217.6,-0.00016107341916312917
217.8,-0.0004068283808368708,217.8,-1.84921991206792e-05,217.8,-0.00016022899554275319
218.0,-0.00040239235900545785,218.0,-1.8290561764705882e-05,218.0,-0.00015803706103699212
218.2,-0.0004021224984839297,218.2,-1.827829539114615e-05,218.2,-0.00015633222613705276
218.4,-0.0004022680412371134,218.4,-1.8284910976349304e-05,218.4,-0.00015599010418435418
218.6,-0.00040346876895087935,218.6,-1.8339489508793206e-05,218.6,-0.0001571371630078836
218.8,-0.00040967252880533657,218.8,-1.862147859308672e-05,218.8,-0.0001578594189205579
219.0,-0.00041180715585203157,219.0,-1.871850709520922e-05,219.0,-0.00015894371243177683
219.2,-0.0004121619163129169,219.2,-1.8734632565191028e-05,219.2,-0.0001596236148574894
219.4,-0.00041293814432989695,219.4,-1.8769915645845965e-05,219.4,-0.0001603404542753184
219.6,-0.00041344754396604007,219.6,-1.8793070194057006e-05,219.6,-0.00016259367935112193
219.8,-0.0004137992722862341,219.8,-1.8809057822922986e-05,219.8,-0.00016311726115827773
220.0,-0.0004153638568829594,220.0,-1.8880175318374773e-05,220.0,-0.00016379614366282598
220.2,-0.0004152395391146149,220.2,-1.8874524499696787e-05,220.2,-0.0001645925767738023
220.4,-0.0004150545785324439,220.4,-1.886611719223772e-05,220.4,-0.0001628531065797453
220.6,-0.00041563371740448754,220.6,-1.8892441691934507e-05,220.6,-0.00016177159711946635
220.8,-0.0004142025469981807,220.8,-1.8827388508186777e-05,220.8,-0.00016082573459672527
221.0,-0.00041604912067919953,221.0,-1.89113236810188e-05,221.0,-0.0001614940735294118
221.2,-0.00041655245603396,221.2,-1.8934202546998178e-05,221.2,-0.00016214872650090965
221.4,-0.00041688902365069743,221.4,-1.8949501061249242e-05,221.4,-0.00016266920724681625
221.6,-0.00042055488174651306,221.6,-1.9116130988477865e-05,221.6,-0.00016313963007883568
221.8,-0.0004193298969072165,221.8,-1.9060449848392966e-05,221.8,-0.00016163770054578535
222.0,-0.0004203638568829594,222.0,-1.9107448029108552e-05,222.0,-0.00016151156349302606
222.2,-0.00041874166161309887,222.2,-1.903371188599151e-05,222.2,-0.00016014639727107336
222.4,-0.000416340206185567,222.4,-1.89245548211037e-05,222.4,-0.0001604961546998181
222.6,-0.00041575803517283205,222.6,-1.8898092510612493e-05,222.6,-0.00016172637686476653
222.8,-0.0004142874469375379,222.8,-1.883124757428745e-05,222.8,-0.00016122681791995149
223.0,-0.0004139630078835658,223.0,-1.8816500363856882e-05,223.0,-0.00016173671370527595
223.2,-0.0004123650697392359,223.2,-1.8743866798059432e-05,223.2,-0.00016091880755003034
223.4,-0.00040979987871437234,223.4,-1.8627267222559127e-05,223.4,-0.0001590595126440267
223.6,-0.00040598544572468165,223.6,-1.8453883899332932e-05,223.6,-0.00015770879044875683
223.8,-0.00040223771983020017,223.8,-1.828353271679806e-05,223.8,-0.00015680667346876896
224.0,-0.00039977865372953306,224.0,-1.817175697392359e-05,224.0,-0.0001557366723771983
224.2,-0.0003972104305639782,224.2,-1.8055019557307456e-05,224.2,-0.00015636538674954517
224.4,-0.00039640388114008487,224.4,-1.8018358247422683e-05,224.4,-0.0001561428000303214
224.6,-0.000393872043662826,224.6,-1.7903274711946636e-05,224.6,-0.00015486582777440874
224.8,-0.0003901637355973317,224.8,-1.7734715251667677e-05,224.8,-0.00015413096091570648
225.0,-0.00038683141297756216,225.0,-1.75832460582171e-05,225.0,-0.00015278091403881142
225.2,-0.000383068526379624,225.2,-1.7412205730745904e-05,225.2,-0.00015105716964827168
225.4,-0.00038063068526379625,225.4,-1.730139478471801e-05,225.4,-0.0001516349302607641
225.6,-0.00037609460278956945,225.6,-1.70952092177077e-05,225.6,-0.00015089630078835657
225.8,-0.00037136446331109766,225.8,-1.6880202880533656e-05,225.8,-0.0001493249214372347
226.0,-0.000367883565797453,226.0,-1.67219802607641e-05,226.0,-0.0001492122222862341
226.2,-0.0003635385081867799,226.2,-1.6524477653123105e-05,226.2,-0.00014869247201334144
226.4,-0.0003594693753790176,226.4,-1.6339517070952092e-05,226.4,-0.0001483113319284415
226.6,-0.00035459672528805335,226.6,-1.6118032959369314e-05,226.6,-0.00014685968080654943
226.8,-0.000348114008489994,226.8,-1.5823364008489994e-05,226.8,-0.00014567360385081869
227.0,-0.00034002728926622194,227.0,-1.5455785870224378e-05,227.0,-0.0001432766277137659
227.2,-0.0003353092783505155,227.2,-1.524133083687083e-05,227.2,-0.00014154596449363253
227.4,-0.0003304912067919951,227.4,-1.5022327592480293e-05,227.4,-0.000141981765797453
227.6,-0.00032514554275318375,227.6,-1.4779342844147969e-05,227.6,-0.0001405118942692541
227.8,-0.00032140994542146755,227.8,-1.4609542965433597e-05,227.8,-0.00013887590275924803
228.0,-0.0003144724075197089,228.0,-1.4294200333535475e-05,228.0,-0.00013751962622801696
228.2,-0.00030844147968465735,228.2,-1.4020067252880534e-05,228.2,-0.0001350708969678593
228.4,-0.00030190873256519105,228.4,-1.3723124196482717e-05,228.4,-0.00013323753377804731
228.6,-0.0002953305033353548,228.6,-1.3424113796240145e-05,228.6,-0.000132105904396604
228.8,-0.0002904160097028502,228.8,-1.3200727713765919e-05,228.8,-0.00013027789569436022
229.0,-0.00028395906610066706,229.0,-1.2907230291085508e-05,229.0,-0.00012812271209824137
229.2,-0.00027811704063068527,229.2,-1.2641683656761674e-05,229.2,-0.00012756177298362643
229.4,-0.00027249272286234083,229.4,-1.2386032868405095e-05,229.4,-0.00012681355779260158
229.6,-0.00026570891449363254,229.6,-1.2077677926015768e-05,229.6,-0.00012544748884172225
229.8,-0.00025761946634323833,229.8,-1.170997574287447e-05,229.8,-0.00012473355063674955
230.0,-0.0002515248635536689,230.0,-1.143294833232262e-05,230.0,-0.0001226608206185567
230.2,-0.0002448280776228017,230.2,-1.1128548969072165e-05,230.2,-0.00012086015630685264
230.4,-0.00024024439053972106,230.4,-1.0920199575500303e-05,230.4,-0.00012060163183747726
230.6,-0.00023616191631291693,230.6,-1.0734632565191026e-05,230.6,-0.00011966045536688903
230.8,-0.00023008732565191024,230.8,-1.0458514796846574e-05,230.8,-0.00011824676112795635
231.0,-0.00022514645239539116,231.0,-1.0233929654335962e-05,231.0,-0.00011632315039417829
231.2,-0.00022022164948453608,231.2,-1.0010074984839295e-05,231.2,-0.00011467723550636751
231.4,-0.00021544663432383263,231.4,-9.793028835657975e-06,231.4,-0.00011268157698605214
231.6,-0.00021201970891449363,231.6,-9.637259490600365e-06,231.6,-0.00011146424141904182
231.8,-0.00020706913280776228,231.8,-9.412233323226199e-06,231.8,-0.000110116723620376
232.0,-0.00020101243177683445,232.0,-9.136928714372347e-06,232.0,-0.0001088836140388114
232.2,-0.00019568496058217102,232.2,-8.89477092177077e-06,232.2,-0.00010800387977562159
232.4,-0.00019142753183747725,232.4,-8.701251455427532e-06,232.4,-0.00010689183526379624
232.6,-0.00018867010309278352,232.6,-8.575913765918739e-06,232.6,-0.00010615392249848392
232.8,-0.0001859915100060643,232.8,-8.454159551243178e-06,232.8,-0.00010537149235900547
233.0,-0.00018352061855670104,233.0,-8.341846300788357e-06,233.0,-0.00010412123738629473
233.2,-0.00017987083080654945,233.2,-8.175946846573683e-06,233.2,-0.00010247338608247424
233.4,-0.00017579411764705885,233.4,-7.990641722255912e-06,233.4,-0.00010056643832625836
233.6,-0.0001719526986052153,233.6,-7.816031746513038e-06,233.6,-9.87276310794421e-05
233.8,-0.00016735597331716192,233.8,-7.607089690721649e-06,233.8,-9.672720382049727e-05
234.0,-0.00016317859308671924,234.0,-7.417208762886598e-06,234.0,-9.429526849605822e-05
234.2,-0.00016004639175257732,234.2,-7.274835991510006e-06,234.2,-9.269976983020012e-05
234.4,-0.00015549939357186176,234.4,-7.068154244996968e-06,234.4,-9.093586334141906e-05
234.6,-0.0001519335961188599,234.6,-6.906072559126743e-06,234.6,-8.994269942389326e-05
234.8,-0.00014876834445118255,234.8,-6.762197483323226e-06,234.8,-8.939774793814435e-05
235.0,-0.0001438814432989691,235.0,-6.5400656155245605e-06,235.0,-8.896789375379019e-05
235.2,-0.00013995087932080049,235.2,-6.361403608247423e-06,235.2,-8.758310821710127e-05
235.4,-0.0001369436021831413,235.4,-6.224709187386295e-06,235.4,-8.516264678593087e-05
235.6,-0.00013361582777440874,235.6,-6.073446725288053e-06,235.6,-8.361386376591875e-05
235.8,-0.00012996452395391144,235.8,-5.907478350515464e-06,235.8,-8.082046282595513e-05
236.0,-0.0001264593693147362,236.0,-5.748153153426319e-06,236.0,-7.883272919951486e-05
236.2,-0.00012213644633110978,236.2,-5.551656640388114e-06,236.2,-7.783691218920558e-05
236.4,-0.00011911218920557914,236.4,-5.414190418435415e-06,236.4,-7.633020012128563e-05
236.6,-0.00011624317768344451,236.6,-5.283780806549424e-06,236.6,-7.533614035779261e-05
236.8,-0.00011467252880533656,236.8,-5.212387659187386e-06,236.8,-7.451941949666464e-05
237.0,-0.00011218617343844755,237.0,-5.099371528198908e-06,237.0,-7.232421852637962e-05
237.2,-0.00010896604002425713,237.2,-4.953001819284415e-06,237.2,-7.121043056397817e-05
237.4,-0.00010491540327471194,237.4,-4.768881958762887e-06,237.4,-6.921982331716191e-05
237.6,-9.953153426318982e-05,237.6,-4.524160642813827e-06,237.6,-6.720469017586416e-05
237.8,-9.565463917525773e-05,237.8,-4.347938144329897e-06,237.8,-6.575477562158884e-05
238.0,-9.131594906003639e-05,238.0,-4.15072495451789e-06,238.0,-6.368341694966646e-05
238.2,-8.864311704063068e-05,238.2,-4.029232595512432e-06,238.2,-6.238382077016374e-05
238.4,-8.690509399636143e-05,238.4,-3.95023153426319e-06,238.4,-6.121024451182536e-05
238.6,-8.43547604608854e-05,238.6,-3.834307307459066e-06,238.6,-5.98192706185567e-05
238.8,-8.075409338993328e-05,238.8,-3.670640600363857e-06,238.8,-5.856882271073379e-05
239.0,-7.748514251061249e-05,239.0,-3.522051940570043e-06,239.0,-5.681633496058217e-05
239.2,-7.380139478471801e-05,239.2,-3.3546088538508186e-06,239.2,-5.4920633717404496e-05
239.4,-7.080715585203153e-05,239.4,-3.218507095209218e-06,239.4,-5.472539830200122e-05
239.6,-6.929078229229837e-05,239.6,-3.149581018799272e-06,239.6,-5.333215033353548e-05
239.8,-6.596543359611886e-05,239.8,-2.998428805336568e-06,239.8,-5.238271127956337e-05
240.0,-6.277592480291085e-05,240.0,-2.8534511218920556e-06,240.0,-5.1548686537295325e-05
240.2,-5.970072771376592e-05,240.2,-2.7136694360218315e-06,240.2,-4.912706737416616e-05
240.4,-5.70573074590661e-05,240.4,-2.5935139781685874e-06,240.4,-4.837078256519103e-05
240.6,-5.465949060036386e-05,240.6,-2.484522286234081e-06,240.6,-4.612183004851425e-05
240.8,-5.368010915706489e-05,240.8,-2.440004972710734e-06,240.8,-4.475715997574287e-05
241.0,-5.215494238932687e-05,241.0,-2.3706791995148576e-06,241.0,-4.4763872043662824e-05
241.2,-4.922134627046695e-05,241.2,-2.2373339296543362e-06,241.2,-4.255860300181929e-05
241.4,-4.799636143117041e-05,241.4,-2.181652789569436e-06,241.4,-4.1961161036992125e-05
241.6,-4.554699818071559e-05,241.6,-2.0703181018799273e-06,241.6,-4.061464248029109e-05
241.8,-4.3428441479684656e-05,241.8,-1.9740200727713764e-06,241.8,-3.852226555488174e-05
242.0,-4.2142510612492424e-05,242.0,-1.915568677986659e-06,242.0,-3.732306079442087e-05
242.2,-3.965191024863554e-05,242.2,-1.8023595512431777e-06,242.2,-3.5125020679199516e-05
242.4,-3.7428138265615525e-05,242.4,-1.701279017586416e-06,242.4,-3.378356027895694e-05
242.6,-3.522892662219527e-05,242.6,-1.6013148574893875e-06,242.6,-3.2272927107337785e-05
242.8,-3.360157671315949e-05,242.8,-1.527344390539721e-06,242.8,-3.173948399029715e-05
243.0,-3.3069739235900546e-05,243.0,-1.5031699514857488e-06,243.0,-3.186766085506368e-05
243.2,-3.261097634930261e-05,243.2,-1.4823171012734992e-06,243.2,-3.098122140691328e-05
243.4,-3.190691328077623e-05,243.4,-1.4503142510612494e-06,243.4,-3.081492225591268e-05
243.6,-3.0395694360218316e-05,243.6,-1.3816224681625228e-06,243.6,-3.0008538235294118e-05
243.8,-2.9489114614918134e-05,243.8,-1.3404143117040631e-06,243.8,-2.9595387689508796e-05
244.0,-2.6702365069739236e-05,244.0,-1.2137438750758035e-06,244.0,-2.90616048211037e-05
244.2,-2.4532868405093998e-05,244.2,-1.115130382049727e-06,244.2,-2.792666767738023e-05
244.4,-2.2250000000000002e-05,244.4,-1.011363644633111e-06,244.4,-2.635601810187993e-05
244.6,-1.9954487568223167e-05,244.6,-9.070221649484536e-07,244.6,-2.470076285627653e-05
244.8,-2.068232261976956e-05,244.8,-9.40105579138872e-07,244.8,-2.3963646694966648e-05
245.0,-1.969251061249242e-05,245.0,-8.951141297756216e-07,245.0,-2.317795288053366e-05
245.2,-1.970018192844148e-05,245.2,-8.954628259551243e-07,245.2,-2.2411329169193455e-05
245.4,-1.8981928441479686e-05,245.4,-8.628149181322013e-07,245.4,-2.3017597453001822e-05
245.6,-1.757713765918739e-05,245.6,-7.989607944208611e-07,245.6,-2.2025887598544573e-05
245.8,-1.613004851425106e-05,245.8,-7.331840206185567e-07,245.8,-2.2160759278350518e-05
246.0,-1.4765585203153426e-05,246.0,-6.711629775621589e-07,246.0,-2.1107255761067317e-05
246.2,-1.4515191024863554e-05,246.2,-6.597814129775621e-07,246.2,-1.989806425106125e-05
246.4,-1.3106155245603395e-05,246.4,-5.957343238326258e-07,246.4,-1.9071495815645845e-05
246.6,-1.2215009096422074e-05,246.6,-5.552276834445118e-07,246.6,-1.8229270497271078e-05
246.8,-1.149463311097635e-05,246.8,-5.224833232261978e-07,246.8,-1.8356026379624012e-05
247.0,-1.1083141297756216e-05,247.0,-5.037791388720437e-07,247.0,-1.8824920072771377e-05
247.2,-1.0823681018799272e-05,247.2,-4.919855063674955e-07,247.2,-1.8451957792601578e-05
247.4,-1.0194815039417829e-05,247.4,-4.63400697392359e-07,247.4,-1.7725236355366886e-05
247.6,-1.0732201334141904e-05,247.6,-4.878273195876289e-07,247.6,-1.773524727107338e-05
247.8,-9.84241964827168e-06,247.8,-4.4738271679805944e-07,247.8,-1.6837918981200726e-05
248.0,-9.617222559126743e-06,248.0,-4.3714648271679805e-07,248.0,-1.6796146422073986e-05
248.2,-9.650848999393572e-06,248.2,-4.386749545178896e-07,248.2,-1.6738652213462706e-05
248.4,-7.889478471801092e-06,248.4,-3.586126440266828e-07,248.4,-1.592631003638569e-05
248.6,-6.891540327471195e-06,248.6,-3.1325181928441483e-07,248.6,-1.4989408884172226e-05
248.8,-4.471740448756822e-06,248.8,-2.0326091570648879e-07,248.8,-1.4312763947847181e-05
249.0,-3.517738023044269e-06,249.0,-1.5989718010915707e-07,249.0,-1.3543066737416617e-05
249.2,-3.3608550636749544e-06,249.2,-1.5276613098847787e-07,249.2,-1.3549576197695573e-05
249.4,-3.3453001819284414e-06,249.4,-1.5205909642207398e-07,249.4,-1.2928792935112189e-05
249.6,-4.9932080048514245e-06,249.6,-2.2696400848999394e-07,249.6,-1.3117911673741662e-05
249.8,-5.357913887204366e-06,249.8,-2.435415403274712e-07,249.8,-1.2553865979381443e-05
250.0,-5.547513644633111e-06,250.0,-2.5215970285021227e-07,250.0,-1.1972105003032141e-05
250.2,-6.30415403274712e-06,250.2,-2.8655245603396e-07,250.2,-1.2105586719223773e-05
250.4,-5.696422073984233e-06,250.4,-2.5892828987265007e-07,250.4,-1.1293482261976954e-05
250.6,-6.059551243177684e-06,250.6,-2.754341419041844e-07,250.6,-1.1231600424499697e-05
250.8,-5.5731655548817465e-06,250.8,-2.533257125530625e-07,250.8,-1.1099228865979379e-05
251.0,-5.153820497271074e-06,251.0,-2.3426455427531838e-07,251.0,-1.0973141449363251e-05
251.2,-5.746846573681019e-06,251.2,-2.61220285021225e-07,251.2,-1.0156646604002425e-05
251.4,-6.070163735597332e-06,251.4,-2.7591652516676776e-07,,
251.6,-5.954184354154032e-06,251.6,-2.70644754396604e-07,,
251.8,-5.051364463311097e-06,251.8,-2.2960748938750757e-07,,
252.0,-4.115130382049728e-06,252.0,-1.8705139478471803e-07,,
252.2,-2.7875924802910855e-06,252.2,-1.2670876288659795e-07,,
252.4,-2.4046149181322014e-06,252.4,-1.0930066707095209e-07,,
252.6,-2.3119345057610675e-06,252.6,-1.050879320800485e-07,,
252.8,-1.892355973317162e-06,252.8,-8.60161916312917e-08,,
253.0,-1.1877471194663433e-06,253.0,-5.398850818677987e-08,,
253.2,-8.946876895087932e-07,253.2,-4.0667616737416614e-08,,
253.4,-1.2476409945421468e-06,253.4,-5.6710946027895693e-08,,
253.6,-1.0248938750758036e-06,253.6,-4.6586082474226805e-08,,
253.8,-7.405366889023651e-07,253.8,-3.366076409945422e-08,,
254.0,-9.472407519708915e-07,254.0,-4.3056397816858705e-08,,
254.2,-9.800333535476048e-07,254.2,-4.454696785930867e-08,,
254.4,-1.2399878714372347e-06,254.4,-5.636309884778654e-08,,
